q_1_1_s1|What legal authority was Britain given by the League of Nations in 1920 to govern Palestine?|The British Mandate
q_1_1_s2|What was the name of the nationalist movement aiming to create a Jewish homeland in Palestine?|Zionism
q_1_1_s3|Which 1917 British declaration originally promised to support the establishment of a Jewish national home?|The Balfour Declaration
q_1_1_s4|The horrors of which event during the Second World War vastly increased global sympathy for a Jewish state?|The Holocaust
q_1_1_s5|What was the name of the moderate Jewish defence force that helped smuggle immigrants into Palestine?|The Haganah
q_1_1_s6|Which extremist Jewish terrorist organisation bombed the British administrative headquarters in 1946?|The Irgun
q_1_1_s7|In which city was this bombed headquarters, the King David Hotel, located?|Jerusalem
q_1_1_s8|Exactly how many people died in the King David Hotel bombing?|91 people
q_1_1_s9|What was the name of the ship carrying 4,500 Jewish refugees that the British notoriously turned back in 1947?|SS Exodus
q_1_1_s10|In February 1947, exhausted by the insurgency, Britain handed the Palestine problem to which international organisation?|The United Nations (UN)
q_1_1_d1|What was the name of the Austrian Jewish journalist who published The Jewish State in 1896, sparking the political Zionist movement?|Theodor Herzl
q_1_1_d2|What was the name of the 1937 British Commission that was the very first to recommend the partition of Palestine?|The Peel Commission
q_1_1_d3|Who was the British Foreign Secretary immediately after the Second World War who heavily clashed with Zionists?|Ernest Bevin
q_1_1_d4|Exactly what percentage of Palestinian land was allocated to the proposed Jewish state under the UN Resolution 181 partition plan?|55 percent
q_1_1_d5|What is the specific Hebrew term for the Jewish agricultural communal farms that often acted as fortified defensive outposts?|Kibbutz
q_1_1_d6|Which prominent Palestinian leader and Grand Mufti of Jerusalem led the Arab Higher Committee in opposing Jewish immigration during the British Mandate?|Haj Amin al-Husseini
q_1_2_s1|Which Arab country annexed the West Bank and East Jerusalem following the 1948–49 war?|Jordan
q_1_2_s2|Which Arab country took military control over the Gaza Strip?|Egypt
q_1_2_s3|What colour was used to describe the 1949 armistice lines that formed Israel's new borders?|The Green Line
q_1_2_s4|What Arabic phrase, meaning 'the catastrophe', do Palestinians use to describe their mass displacement in the 1948 war?|Al-Nakba
q_1_2_s5|Exactly how many Palestinian Arabs fled or were driven from their homes?|Over 700,000
q_1_2_s6|What is the acronym of the UN agency created in December 1949 to provide camps and relief for these refugees?|UNRWA
q_1_2_s7|What is the name of the new unified national army created by David Ben-Gurion during the war?|Israeli Defence Forces (IDF)
q_1_2_s8|To build up its military strength, what mandatory service did Israel introduce for all 18-year-old men and women?|Compulsory conscription
q_1_2_s9|What 1950 Law gave any Jew worldwide the right to Israeli citizenship?|The Law of Return
q_1_2_s10|What is the Arabic name for the Palestinian guerrilla fighters who launched raids into Israel from Egyptian-controlled Gaza?|Fedayeen
q_1_2_d1|What was the specific military codename for the severe Israeli reprisal attack on the Egyptian army headquarters in Gaza on 28 February 1955?|Operation Black Arrow
q_1_2_d2|Who was the Israeli commander of the Paratroopers Brigade that led this 1955 attack on Gaza, and who later became a highly controversial political figure?|Ariel Sharon
q_1_2_d3|What was the name of the Israeli southern port that was economically strangled by Egypt's blockade of the Straits of Tiran?|Eilat
q_1_2_d4|Who was the Egyptian King overthrown in 1952, partly because of the army's anger over his failures in the 1948 war?|King Farouk
q_1_2_d5|What was the name of the 1952 financial agreement in which West Germany agreed to pay compensation to Israel for the Holocaust?|The Reparations Agreement
q_1_2_d6|Which UN mediator, dispatched to negotiate a peace settlement during the 1948 Arab-Israeli War, was assassinated in Jerusalem by the extremist Jewish Stern Gang?|Count Folke Bernadotte
q_1_3_s1|Who is the Egyptian leader who became President in 1954 and championed Arab nationalism?|Gamal Abdel Nasser
q_1_3_s2|What specific political ideology did this leader promote to unite Arabic-speaking nations against Western influence and Israel?|Pan-Arabism
q_1_3_s3|In February 1955, the Israeli army launched a massive retaliation raid against the Egyptian military headquarters in which territory?|Gaza
q_1_3_s4|From which Eastern Bloc country did Egypt sign a massive arms deal in September 1955 to bypass Western arms embargoes?|Czechoslovakia
q_1_3_s5|What major infrastructure project did Egypt plan to build on the River Nile to control flooding and provide hydroelectric power?|The Aswan High Dam
q_1_3_s6|Which global superpower famously withdrew its offer to fund this dam in July 1956 due to Egypt's growing ties with the Communist bloc?|The USA
q_1_3_s7|In retaliation for this withdrawn funding, what vital waterway did the Egyptian President nationalize in July 1956?|The Suez Canal
q_1_3_s8|What is the name of the secret agreement signed in October 1956 between Britain, France, and Israel to collude against Egypt?|Protocol of Sèvres
q_1_3_s9|On 29 October 1956, Israel invaded which Egyptian territory as the first stage of this secret military plan?|The Sinai Peninsula
q_1_3_s10|What acronym represents the United Nations peacekeeping force stationed on the Egyptian-Israeli border after the crisis?|UNEF (United Nations Emergency Force)
q_1_3_d1|What was the specific operational codename for the devastating Israeli attack on Syrian outposts near the Sea of Galilee in December 1955?|Operation Kinneret (Olive Leaves)
q_1_3_d2|Who was the moderate Israeli Prime Minister who preferred diplomacy but was overruled by hardliners in 1954-55?|Moshe Sharett
q_1_3_d3|What is the specific name of the Egyptian town located at the extreme southern tip of the Sinai Peninsula, captured by Israel in 1956 to break the naval blockade?|Sharm el-Sheikh
q_1_3_d4|What was the official Israeli military codename for their invasion of the Sinai Peninsula in October 1956?|Operation Kadesh
q_1_3_d5|Under the secret Protocol of Sèvres, what specific diplomatic mechanism were Britain and France going to use as a false pretext to invade?|An Anglo-French ultimatum
q_2_1_s1|What was the location of the 1964 Arab League Conference that officially set an anti-Israel agenda?|Cairo
q_2_1_s2|What umbrella organisation was set up in 1964 to unite the Palestinian people?|The PLO (Palestine Liberation Organisation)
q_2_1_s3|What is the name of the Palestinian guerrilla group, founded by Yasser Arafat, that began raiding Israel in 1965?|Fatah
q_2_1_s4|The diversion of which vital river by Syria and Lebanon caused major border tensions with Israel?|The River Jordan
